0,1,2,3,4,5,6,7,8,9,10
PVR,19.25,4.78,14.71,16.54,15.6,13.02,18.05,11.63,18.98,55.75
XRCC1,4.68,1.85,5.58,7.82,3.93,10.28,4.88,8.5,4.45,10.15
SCARB1,52.9,62.32,27.25,100.39,75.73,276.31,93.61,106.59,28.81,108.32
MCM2,0.24,0.4,3.28,1.41,1.15,3.58,1.88,9.87,0.66,8.43
TP63,0.02,0.0,0.18,0.05,0.1,0.08,0.08,0.0,0.09,0.07
ABCB11,41.76,25.5,27.83,41.41,31.63,14.12,15.18,10.91,28.58,37.95
PTGS2,1.09,0.24,0.91,1.01,0.8,0.14,4.36,0.66,1.37,0.16
TBX21,0.27,0.12,1.1,1.65,1.81,0.11,0.69,0.31,1.9,0.75
GLI2,0.17,0.02,0.41,0.49,0.23,0.09,1.03,0.33,1.83,0.04
NOTCH3,0.95,0.85,4.57,1.42,1.13,4.9,4.04,9.51,5.08,3.02
TEAD2,0.81,0.47,5.85,3.29,2.22,5.52,4.55,8.69,3.28,0.82
TSG101,10.17,11.71,23.91,27.06,18.16,38.81,23.67,25.47,9.43,26.89
ATP2A3,1.95,0.84,10.38,12.07,11.68,0.95,13.6,5.39,12.16,2.97
SCARF1,3.87,2.67,2.75,9.05,6.53,3.32,4.32,2.8,5.92,2.43
ENO1,116.64,117.01,147.44,170.56,134.62,343.76,201.09,345.29,118.56,284.35
KCNQ2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTSE1,0.39,0.14,1.21,0.8,0.57,1.14,0.4,10.43,0.68,2.14
ACAT1,367.87,522.02,168.02,306.23,350.91,119.66,398.75,263.39,125.44,145.02
WNT8B,0.0,0.03,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
FGF4,0.0,0.0,0.0,0.05,0.0,0.0,0.0,228.19,0.03,0.0
FOSL2,9.02,4.07,8.77,2.78,5.0,7.02,14.29,7.9,19.17,10.77
PLD1,7.6,9.51,10.14,7.45,8.24,1.76,5.88,10.38,9.69,1.25
PAX2,0.05,0.04,0.16,0.25,0.38,0.14,0.53,0.0,0.42,0.0
MCM6,0.81,0.31,3.67,2.42,2.17,7.34,2.98,5.32,1.51,8.51
MLH1,4.96,4.74,9.58,8.57,9.4,10.83,7.93,14.86,7.24,8.53
FMO4,10.65,16.89,10.55,10.57,9.55,7.43,5.97,1.94,4.72,23.16
SLC46A1,6.39,10.08,15.83,11.12,13.24,32.43,8.7,19.98,10.83,7.86
ACACB,19.84,22.89,7.73,13.21,31.45,7.82,8.26,6.38,9.12,7.14
TRAF4,19.73,11.75,14.4,22.02,23.98,18.76,17.5,20.69,25.57,11.91
ICAM3,19.09,22.46,18.83,19.03,19.75,10.87,24.39,10.9,16.4,31.73
MCAM,4.07,1.58,13.18,4.28,5.03,10.07,14.61,25.06,19.01,6.57
ARHGEF1,22.88,13.43,46.95,81.13,53.37,16.67,63.78,50.57,90.18,33.06
RARB,0.92,1.04,1.91,0.94,0.88,0.28,1.08,0.43,1.16,0.38
TOP2B,11.22,9.94,20.3,15.55,11.25,10.29,13.32,20.82,10.23,14.62
NFKB2,63.2,17.35,48.06,52.31,53.75,26.36,92.31,84.91,115.82,53.8
IL4R,45.24,28.36,18.63,26.34,29.63,9.78,57.71,27.44,91.56,15.68
SIRT6,4.71,2.98,7.14,12.82,5.78,10.13,8.57,7.97,13.24,7.96
TYR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGFR1,3.37,2.17,8.31,2.38,2.96,7.26,12.71,3.87,8.79,5.75
MAP2,0.75,1.92,7.25,3.12,1.74,0.6,2.19,6.06,4.15,27.06
PIAS2,1.58,2.05,2.19,3.92,3.64,9.72,2.62,3.92,3.92,2.99
FAP,0.16,0.0,7.68,8.71,0.51,0.5,12.8,10.44,7.21,1.2
PIK3C3,11.41,7.97,15.68,13.16,11.0,9.0,11.1,14.8,6.97,13.17
HOXA9,0.0,0.0,0.0,0.0,0.0,0.25,0.11,0.8,0.31,0.39
EDN1,1.62,0.66,3.88,2.29,2.04,1.04,6.85,1.58,3.5,0.52
MLLT10,4.54,4.13,8.28,7.23,8.02,4.44,4.19,9.09,4.1,4.84
TP73,0.03,0.0,0.11,0.29,0.15,0.42,0.1,0.47,0.08,0.45
RUNX1T1,0.71,0.29,0.76,1.51,1.51,0.14,0.84,1.73,3.9,0.06
CDH17,0.0,0.16,0.13,0.04,0.0,0.02,0.15,0.13,0.05,0.0
XRCC5,30.02,26.02,46.14,55.02,38.75,62.06,49.27,73.23,42.83,60.61
LXN,0.88,0.51,13.43,8.46,5.83,1.67,26.73,10.97,14.53,2.25
CEACAM1,17.86,11.34,25.18,33.25,24.82,14.46,22.95,20.62,28.15,50.82
LIPE,0.02,0.18,1.21,1.68,0.57,0.63,1.36,0.8,2.45,1.87
DCT,0.13,0.09,0.09,0.04,0.11,0.04,0.03,0.0,0.02,0.0
RFX3,0.62,0.24,1.33,0.41,0.41,0.19,0.35,0.81,0.9,1.04
SESN1,5.49,5.93,10.24,13.53,7.07,16.47,7.2,9.99,7.04,8.17
SRCAP,2.96,0.81,2.04,1.74,1.2,1.41,1.32,1.89,3.87,0.65
PSEN1,9.69,5.13,10.47,15.79,9.57,21.47,9.88,10.23,10.82,12.79
HSP90AA1,330.92,104.3,272.62,289.99,230.73,499.7,434.16,498.44,400.3,598.26
RBL1,0.23,0.19,0.68,0.74,0.6,0.3,0.31,1.08,0.35,0.96
NDC80,0.15,0.3,2.03,1.64,0.3,1.67,1.56,7.88,0.47,4.69
CXCL2,430.72,319.57,182.07,95.57,336.56,33.57,223.07,171.33,259.58,8.16
AFP,2.48,9.35,7.0,14.55,15.54,0.53,2.97,5.39,1.75,7.79
COL4A4,0.3,0.3,0.6,0.68,0.47,0.14,1.5,0.22,0.86,0.19
TCF7,3.69,1.66,9.78,11.23,11.71,10.22,6.67,2.62,6.41,4.14
ARG2,2.21,0.0,0.9,0.11,0.0,35.72,1.22,0.57,0.58,6.46
MEF2C,10.02,5.45,9.78,14.06,12.4,2.04,18.27,19.84,27.45,3.2
IL12RB2,0.24,0.3,0.91,0.45,0.26,0.4,0.13,0.35,1.14,0.33
PGR,0.06,0.02,0.08,0.07,0.09,0.0,0.1,0.05,0.12,0.56
EPB41L3,1.47,0.46,2.07,3.59,2.44,0.45,2.93,1.53,2.07,3.73
TRAF5,1.97,0.72,4.97,5.65,3.69,1.98,4.52,3.5,4.36,3.83
NFE2L1,20.1,16.29,35.99,35.17,21.86,64.81,23.72,24.54,17.47,16.68
XPO1,10.76,10.97,19.92,26.49,20.74,11.48,21.44,28.54,15.23,22.1
KAT6A,4.73,3.81,3.39,4.96,4.78,4.16,6.23,4.64,8.98,4.5
GRHL2,0.04,0.11,0.97,0.57,0.85,0.01,1.88,0.0,1.24,0.01
CYLD,6.97,4.34,7.6,8.36,5.74,7.28,6.58,6.7,8.0,7.39
STARD7,13.51,16.05,27.49,20.0,19.57,28.72,18.74,25.99,11.67,21.66
REST,3.33,4.0,5.18,6.96,4.67,4.36,5.14,6.87,6.3,4.36
GSTP1,35.96,17.1,105.13,114.2,75.93,13.87,188.1,73.09,142.57,23.8
