genename,ID_REF,rep1_T1,rep1_T2,rep1_T3,rep1_T4,rep1_T5,rep1_T6,rep1_T7,rep1_T8,rep2_T1,rep2_T2,rep2_T3,rep2_T4,rep2_T5,rep2_T6,rep2_T7,rep2_T8,rep3_T1,rep3_T2,rep3_T3,rep3_T4,rep3_T5,rep3_T6,rep3_T7,rep3_T8
fdnI,eco_gcs1_t03879,7.252353423,7.58381021,6.7151045929999995,10.4163268,6.609355525,10.62444663,7.819802752,14.4979682,10.59566546,19.17839172,10.96635819,8.274121765,9.383552506000001,8.150742471000001,8.525759374,5.665125585,12.89804451,7.719765297,8.817968745,4.742317733999999,13.47765104,20.1685023,7.08558216,6.73669986
ycaC,eco_gcs1_t02220,59.36057699,105.5681123,135.5752282,117.07802659999999,100.3744059,50.51340517,65.98882305,67.50177797,16.39906967,16.499695199999998,13.11147842,16.85267673,94.1254619,105.407618,87.71735537,110.34065840000001,98.15770546,126.9006453,82.37223929999999,72.71017359999999,53.35633349,49.98259247,78.27514804,127.5800703
focA,eco_gcs1_t02245,148.083676,174.9796479,140.9440885,139.9437367,146.6663767,121.0530548,159.5751632,110.9289166,108.137755,93.54263490000001,136.24350249999998,124.30877240000001,187.9753746,179.1083155,155.0427659,177.9710665,142.9959124,169.93786709999998,176.8021616,179.3887803,189.68035780000002,140.6068905,184.6239325,167.9202624
pheM,eco_gcs1_t12522,6.0165459420000005,14.30840537,5.718679325,4.6659245039999995,3.6606717769999997,3.9213952819999998,3.344732454,0.8270611929999999,2.8657379880000002,2.1687593290000002,5.4968614670000004,6.602772149,7.602030555,8.643979488,9.249710224,11.58812642,5.908436236,10.34148894,12.74424215,9.598353416,5.405530956000001,3.755608797,5.101221624,11.03654397
hyfB,eco_gcs1_t06688,13.83421184,6.4995367,8.133168785,8.335146181,8.464055248,10.69852462,9.304757214,27.76880489,16.8423225,17.71585481,12.41801017,8.281088144,14.07186261,11.10260202,6.141259067999999,8.38147145,8.940250456000001,9.853666357,7.5343446510000005,5.195565299,7.26756456,22.97272634,5.889989309,7.387636904
ygbA,eco_gcs1_t11938,49.68424165,45.98168624,57.55339897,55.18069957,52.79358082,62.36282077,48.57302302,59.78109806,55.65680599,86.73240122,48.94707761,39.6492964,47.27254766,64.45203913,53.50700745,51.45950442,59.05351329999999,69.64934517,45.39163708,42.53439901,52.07419695,62.09702439,44.21730292,20.69095539
upp,eco_gcs1_t06725,7498.20392,9553.530778,11472.8814,8861.807087000001,9547.472215,7151.370999,8828.351290999999,6517.359964,5125.030725,5540.405623,6055.847353,5885.083054,14822.36009,13181.70431,13626.608430000002,10742.698999999999,13035.37548,13660.28335,12083.225190000001,12630.43746,12041.850770000001,9630.421715,12631.59232,12546.134329999999
ubiC,eco_gcs1_t10574,1203.198711,1164.9283300000002,1156.787493,1105.025502,1067.9926710000002,935.1330962999999,1024.593806,676.7452435,1555.0758859999999,1238.020457,1509.400962,1551.227395,1619.0541759999999,1576.667175,1840.865575,1522.5291109999998,1637.759839,1534.121065,1587.9925380000002,1444.2374029999999,1554.189505,1411.669364,1650.246096,1601.711077
ubiA,eco_gcs1_t10577,3370.930515,3191.75693,2537.3145440000003,2509.560121,2588.1505260000004,2494.268913,2624.857725,1332.480238,3804.1315640000003,3424.817396,3582.557024,3588.051704,1749.689786,1495.666875,1433.690306,1874.9977199999998,1031.791284,2231.491744,1045.877509,1432.863681,1418.250475,813.3732621,846.4495619999999,971.6605392000001
cydD,eco_gcs1_t02188,386.0476223,300.7459903,337.2920139,287.1269249,282.6734066,271.2752758,271.16608039999994,187.6639006,371.1228972,271.9344163,352.0165952,354.0028627,358.4618143,404.09077410000003,381.8390433,337.0509434,323.6749359,320.8760755,302.3868068,332.56701660000004,340.83358169999997,195.28906940000002,313.742981,266.4145395
nrdD,eco_gcs1_t11022,118.49070959999999,95.80972656,114.29835520000002,129.05790349999998,168.7457021,196.11344,204.52108590000003,134.1641854,172.12435209999998,169.6386355,179.2172935,192.4839624,101.4382401,93.31428605,112.6862187,119.42341529999999,106.9284188,88.03505675,112.25077569999999,87.55696889,102.9329139,93.68289312,115.76560159999998,133.6547438
gcvT,eco_gcs1_t07781,3125.7272829999997,2760.507751,2445.641463,2342.992261,3051.022075,2706.890945,3040.416403,1927.1487550000002,3026.700989,2504.393748,2886.2926620000003,3196.7881820000002,2748.815021,2499.7730149999998,2820.66606,2478.131958,2595.905631,2819.46947,2888.875586,2582.904666,3205.641461,2493.31627,2597.068849,2898.287662
argK,eco_gcs1_t07804,7.140808927,8.084855153,6.714177577,7.7080690679999995,8.413500952,8.715015269,9.107756424,24.04298906,16.50501698,16.81775888,11.48917046,7.678037672,10.95732131,7.500237809,6.822861877,22.36335037,10.69493295,2.6738816340000002,9.457979585,4.48104193,12.56170593,20.03596727,19.89881561,10.72385091
gltF,eco_gcs1_t08485,426.2578768,353.05694680000005,371.1339795,458.7664139,590.0603962,501.4841445,612.5920057,447.0080222,517.3326785,396.6693321,598.1947988,570.684696,341.8437899,322.5279795,346.7283179,309.87779950000004,288.75863300000003,333.6823214,371.6919653,386.2211456,366.4256651,291.0719565,364.09778819999997,376.9210268
pepT,eco_gcs1_t02866,64.90558042,82.19415902,90.40451275,77.53543463,102.96424040000001,98.31693746,110.7739501,92.25772008,52.65942926,87.76873408,72.78008523,62.95736207,61.99305675,56.44869786,59.28735796,53.17364819,60.90637861,43.57356002,63.87804837,62.20094932,61.49316192,46.83251702,61.13706146,56.06087263
