0,1,2,3,4,5,6,7,8,9,10
FOSL2,730.0,375.0,825.0,228.0,399.0,783.0,1235.0,613.0,1311.0,1056.0
PLD1,361.0,594.0,514.0,430.0,466.0,90.0,375.0,536.0,330.0,85.0
PAX2,3.0,1.0,9.0,12.0,13.0,4.0,23.0,0.0,17.0,0.0
MCM6,36.0,17.0,203.0,122.0,107.0,478.0,147.0,251.0,65.0,505.0
MLH1,105.0,102.0,213.0,161.0,144.0,312.0,163.0,248.0,94.0,222.0
FMO4,311.0,556.0,337.0,317.0,279.0,284.0,177.0,56.0,110.0,802.0
SLC46A1,283.58,399.8,712.6,414.0,439.99,1978.29,444.11,894.33,238.49,423.92
ACACB,1352.0,1689.0,769.0,1272.0,1983.0,923.0,742.0,560.0,572.0,725.0
TRAF4,486.53,320.97,415.0,574.65,570.25,580.0,485.48,635.91,487.04,376.34
ICAM3,330.94,420.71,368.39,395.66,315.5,282.22,414.08,209.0,189.11,659.33
MCAM,179.0,74.0,642.0,184.0,218.6,580.0,650.0,1084.0,682.0,333.54
ARHGEF1,584.0,425.0,1179.0,1698.0,985.0,465.0,1201.0,750.0,1243.0,947.0
RARB,35.0,44.0,74.0,32.0,24.0,15.0,44.0,16.0,35.0,15.0
TOP2B,330.0,317.0,774.0,499.0,344.0,458.0,446.0,624.0,261.0,579.0
NFKB2,847.0,209.0,771.0,610.0,503.0,598.0,987.0,825.0,863.0,785.0
IL4R,1373.0,1037.0,751.0,1015.0,1025.0,500.0,1815.0,999.0,2536.0,705.0
SIRT6,72.0,64.0,138.0,185.0,86.0,215.0,143.0,119.0,140.0,149.0
TYR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGFR1,152.0,98.0,298.0,165.0,164.0,401.0,685.0,148.0,325.0,161.0
MAP2,31.0,38.0,495.0,174.0,100.0,48.0,126.0,255.0,127.0,1716.0
PIAS2,172.0,230.0,310.0,452.0,356.0,732.0,304.0,460.0,360.0,259.0
FAP,5.0,0.0,107.79,75.96,9.92,9.0,200.04,138.88,67.41,16.0
PIK3C3,157.0,158.0,265.0,285.0,207.0,337.0,198.0,235.0,136.0,264.0
HOXA9,0.0,0.0,0.0,0.0,0.0,7.56,2.0,5.0,7.0,9.0
EDN1,42.0,19.0,111.0,60.0,52.0,35.0,185.0,40.0,78.0,16.0
MLLT10,263.0,231.0,290.0,336.0,397.0,271.0,222.0,345.0,205.0,264.0
TP73,2.23,0.0,8.74,19.22,7.62,30.16,6.67,29.87,4.47,36.7
RUNX1T1,29.0,17.0,81.0,92.0,65.0,5.0,60.0,73.0,84.0,5.0
CDH17,0.0,5.0,6.0,2.0,0.0,1.0,4.0,6.0,2.0,0.0
XRCC5,866.0,857.0,1751.0,1514.0,971.0,2691.0,1506.0,2168.0,790.0,2243.0
LXN,11.0,7.0,180.0,106.0,71.0,27.0,337.0,131.0,152.0,33.0
CEACAM1,518.0,457.0,1099.0,1186.0,761.0,721.0,848.0,505.0,576.0,2398.0
LIPE,1.0,2.0,20.0,22.0,5.0,12.0,21.0,9.0,30.0,39.0
DCT,8.0,6.0,5.0,3.0,7.0,4.0,2.0,0.0,1.0,0.0
RFX3,36.0,31.0,71.0,53.0,51.0,18.0,43.0,98.0,48.0,40.0
SESN1,173.0,217.0,343.0,446.0,248.0,736.0,244.0,310.76,186.0,352.86
SRCAP,129.83,52.14,141.43,90.21,139.22,112.91,105.77,76.16,84.38,57.88
PSEN1,407.0,275.0,568.0,657.0,376.0,1257.0,433.0,442.0,369.0,672.0
HSP90AA1,10886.0,4423.0,12888.0,10882.0,8235.0,28152.0,15957.0,15714.0,11115.0,29203.0
RBL1,18.0,16.0,58.0,58.0,46.0,30.0,25.0,81.0,23.0,88.0
NDC80,4.0,9.0,61.0,44.0,8.0,46.0,18.0,174.0,11.0,150.0
CXCL2,5179.0,4261.0,2208.0,1101.0,3817.0,512.0,2716.0,2017.0,2602.0,117.0
AFP,13.0,72.0,54.0,75.0,100.0,6.0,17.0,73.0,6.0,64.0
COL4A4,41.0,45.0,91.0,94.0,64.0,25.0,214.0,30.0,102.0,31.0
TCF7,77.0,77.0,351.0,373.0,345.0,483.0,257.0,81.0,174.0,176.0
ARG2,39.66,0.0,20.62,1.0,0.0,1093.25,27.12,13.53,9.91,166.27
MEF2C,225.0,144.0,403.0,258.0,258.0,111.0,515.0,412.0,446.0,141.0
IL12RB2,12.0,7.0,12.0,23.0,13.0,8.0,7.0,8.0,22.0,13.0
PGR,10.0,3.0,16.0,13.0,16.0,0.0,18.0,4.0,19.0,118.92
