genename,rep1_T1,rep1_T2,rep1_T3,rep1_T4,rep1_T5,rep1_T6,rep1_T7,rep1_T8,rep2_T1,rep2_T2,rep2_T3,rep2_T4,rep2_T5,rep2_T6,rep2_T7,rep2_T8,rep3_T1,rep3_T2,rep3_T3,rep3_T4,rep3_T5,rep3_T6,rep3_T7,rep3_T8
sgcE,266.7760446,196.5148189,133.6348055,135.4626831,205.775646,214.078629,227.6003588,619.6684734,250.4341297,316.1573328,348.5175971,136.8699546,159.3651746,344.7334289,401.9535723,290.6141349,401.6821152,281.3411825,185.3812565,186.6890676,377.2565038,315.7007079,214.7657748,308.2765367
sgcQ,32.64161235,30.15725595,37.28226256,50.55152453,48.38731222,50.92292943,51.80173936,75.05440749,35.6901102,38.41652192,60.78794539,48.42730846,48.02110052,77.10322415,81.68512362,70.32239024,61.02748513,61.24746937,47.62124642,60.42195688,71.63786293,65.02607838,63.11902877,69.64876799
feaB,51.51124932,54.70666237,74.43438236,102.6245079,121.7942309,128.4930671,141.7430612,148.4098874,48.67698893,50.09871811,59.9602824,91.10873429,97.43093947,96.21874356,109.9155183,150.9680465,50.285092,54.37883165,60.12322291,59.93359511,91.42159381,99.59467256,101.4590666,174.8829222
srlA,43.73449976,49.75397546,30.11739582,24.35614418,22.4498528,23.85562064,22.88893457,39.90452903,47.29615561,44.71098817,35.02940694,18.68216347,21.78332801,25.09293061,29.29433301,26.38675612,47.14310572,43.67185581,23.57878433,22.0619892,25.89942464,25.72022905,21.1725136,22.52239686
dgoD,35.03207586,30.20425782,30.07232004,24.04170527,20.44554192,15.75578515,16.15948087,24.0366097,31.92768089,34.4543049,30.01160981,26.88604548,18.51171306,8.329539709,14.40993873,22.65683529,31.6687992,26.7420828,27.73294748,30.53895532,17.85348496,14.59986758,16.3459428,20.98933321
mhpA,9.166151771,9.865662185,6.684746631,5.88122774,8.599591511,11.93760976,8.397824606,19.08177565,11.15804039,15.83877622,12.22052618,9.638013688,5.666780437,5.579829684,10.49043031,8.275699705,11.40217315,13.73287402,6.950500651,15.69458235,7.000889409,7.625078536,11.1580241,8.209739067
mhpB,48.59544409,34.46387322,42.29638767,31.51927831,40.79275813,42.86211367,45.87761454,38.95870408,50.70450325,60.08426429,35.93776348,51.20141154,34.08615979,35.11189027,35.86078373,34.81690395,54.00561932,57.70582778,31.72540616,58.70394178,45.34339057,38.76733852,45.25232437,33.52147776
mhpC,35.57131855,31.89651401,25.87110705,21.12053305,22.70030148,21.22405438,18.73743259,25.27312026,39.02397862,36.34552573,27.80595088,32.58054551,13.47277652,6.951141138,13.01869661,18.44079006,26.52078592,26.55845195,20.3556874,28.56218005,14.70988713,13.78489116,19.82922226,17.19397491
mhpD,28.64144182,20.33070916,19.44875092,15.70769676,18.89703249,21.54933783,15.84277019,32.25632148,32.31060167,30.08114511,30.53656022,18.15512173,17.26669302,24.43633461,22.5503396,20.89539145,38.15608508,36.49891077,20.45086512,30.31756128,19.35527979,17.14459775,23.87471566,21.29867353
mhpF,19.57143544,12.76067414,11.36556261,10.30596342,8.582470577,9.494800446,7.448186122,16.15211316,14.11584625,12.33920329,13.62297524,8.195400366,8.974937177,6.348336071,11.17411883,12.34342044,23.51852315,15.10093437,12.30385138,17.69447068,10.43695239,9.246185131,13.22929516,9.942040026
sgcB,55.64091867,24.35102605,22.27714101,23.51042507,47.84604411,55.86938701,68.88674342,200.8682222,37.86285336,72.4349463,111.0709136,26.80244978,31.99225574,97.41985297,104.09871,70.63392277,81.4254409,60.43676195,33.23138593,53.8806596,96.67633047,80.46580686,52.90242419,64.92664734
yeiW,34.09163328,53.58099526,113.4225416,114.9311843,120.0244373,115.0296671,88.74250116,44.11673579,33.36214558,37.40093748,100.9824134,132.6038091,89.37542501,85.23964342,63.47027997,45.39004151,31.58604321,36.24630691,77.02543766,70.97688824,89.87490528,80.58764487,63.52534167,49.85478223
cadA,9.545384007,5.979435137,6.534815804,5.126467953,6.852556436,6.221195688,7.119423781,16.59671251,6.488735623,10.74445438,11.58028897,6.25003949,5.263206147,9.052231111,14.69638178,11.92611167,13.43467702,10.07900134,5.871970253,23.16867017,12.16905662,10.74049273,10.70372239,11.61772205
cadB,29.05098697,11.41358403,10.02866358,11.42949012,34.08739257,30.79343665,26.98466132,110.6900072,21.16992261,51.29264912,50.66067978,20.0104869,26.97424539,57.70290406,102.4488405,37.86926205,57.52156303,38.17198906,20.86612026,36.54382665,78.26772559,65.14905819,31.19586488,45.060569
ispB,859.3043111,943.0866124,639.379542,469.8739661,443.4483868,473.1683925,536.9528931,556.6392341,1054.990587,851.4675857,505.3943708,486.546715,427.2977009,400.98187,370.9182747,720.1225266,930.7988943,871.9482511,563.0259967,380.2405497,401.0430131,395.6623241,432.4725225,704.941558
amn,391.9509192,469.4878606,457.1860672,420.8167496,403.4622778,351.9947521,365.8571267,566.3761269,494.7880057,400.3728725,345.085523,416.602078,300.8432992,268.2455357,238.1996848,493.4526331,326.2897313,275.1277442,337.6952453,232.6948692,294.543467,266.715234,268.6761498,547.247527
cysQ,285.6389532,349.4634203,214.8860295,165.08449,148.2507741,136.9798884,148.8702089,382.3997365,358.7879228,344.3397728,190.0174897,143.105485,70.92994085,87.48126834,84.24783222,214.0468927,250.7791151,202.0085334,154.627,105.8273726,88.23139582,84.67153122,97.07002999,250.5064922
